UniRef50_Q96AZ6	A0A024RC76; K7CFV6; Q96AZ6; G3R4B5
UniRef50_L8E7Y5	L8E7Y5
UniRef50_F8WD74	F8WD74
UniRef50_Q96BA8	B2RA75; Q96BA8; E9PK33
UniRef50_L8EAJ9	L8EAJ9
UniRef50_R4GMV4	R4GMV4
UniRef50_Q14BA6	Q5VYS4
UniRef50_A0A0K2FPC8	
UniRef50_F6XDG1	Q6ZSG8
UniRef50_Q9P1Z2	F8VRQ9; F8VUB3; F8VPN1; G7N756; UPI000387D78A; F8VZI3; B3KS47; A0A024RAZ1; Q9P1Z2; F8VQE3; F8VWP8; B4DG60; F8W0X2
UniRef50_M0R204	M0R204
UniRef50_H9F058	H0YDA0
UniRef50_H7C355	H7C355
UniRef50_A0A0G2K6Y4	
UniRef50_P30050	P30050; P61284; A0A0B8RZ72; H2PTF8; H2QZG4; E2RR58
UniRef50_O94927	O94927; UPI00006C19BA
UniRef50_Q8WV74	H2Q494; Q8WV74
UniRef50_F6TSC7	Q3SAH2
UniRef50_UPI0005D036E9	
UniRef50_P35858	B0AZL7; P35858; Q8TAY0
UniRef50_C9JUS7	C9JUS7
UniRef50_H0Y2V7	H0Y2V7
UniRef50_I3L1H9	I3L1H9
UniRef50_Q53SH9	Q53SH9
UniRef50_G1QZ15	UPI000015EE9D; M0R1Q7
UniRef50_P83881	A0A0D9RRX3; G5BW65; A0A096MKZ9; G3HLJ9; H0VDY1; G7PA71; L9J9L2; G3R205; W5NRQ6; M3WWJ1; Q3ZCJ0; P83881; Q5M9P1; D0VWQ4; P83882; G3TM33; B2RYQ8; P83884; Q3SZ59; F7HCF3; F6TTX8; F6QMG1; P83883; D2HIE2; L5JW47; F6VSQ6; G1U344
UniRef50_O13166	H7C4P7; UPI0005D03608; Q5JSY8; UPI0005F43026; UPI0005D0143F; H7C4W5; B3KUA2
UniRef50_C0PK19	Q5MK14
UniRef50_P07953	G1S2Q7; I1Z9G3; Q4VBA8; Q9BQU1; C9K0D8; Q66S35; UPI000387B8DB; P16118; UPI0005D01AB7; F2Z2I2; B7Z5C3
UniRef50_Q6GLZ6	
UniRef50_Q706D0	B2R8Y2
UniRef50_Q6NUQ1	UPI00024CBA2D; B3KP18; Q6NUQ1
UniRef50_H0W156	
UniRef50_F7IB98	B7Z624
UniRef50_Q9P2G1	G3QVE7; Q9P2G1; C9JZ63; UPI0005D00A8F; Q4VBX8
UniRef50_U3EPN8	E5RGV4; UPI000533F573; E5RFI6; E5RG37; E5RK19; E5RHE7; E5RH52; E5RJ04
UniRef50_Q8N3T1	C9JGI4; Q8N3T1; B3KT16
UniRef50_H3BME6	H3BME6
UniRef50_O60931	I3L1K8; I3L4A9; C9JMM9; UPI0005F42C80; I3L0Z6; O60931-2; O60931; UPI0003EAF027; Q6FGP9
UniRef50_F6YF47	
UniRef50_H2PA39	Q8NAP4
UniRef50_P13533	P13533
UniRef50_L8ECM9	L8ECM9
UniRef50_E9PPP6	E9PPP6
UniRef50_L8EAT5	L8EAT5
UniRef50_K7GRE8	B4E0L1
UniRef50_A6H8Z0	A6H8Z0
UniRef50_Q13092	Q13092
UniRef50_H0YBW6	H0YBH4; H0YBW6
UniRef50_P35412	A8K2F5; H9FAQ8; B4DG25; P47775; Q6NWS8; H2Q7B7; Q6NWS7; G3QEX9; Q6NWS6
UniRef50_H0Y7V7	H0Y7V7
UniRef50_A0A0Q3MDM8	
UniRef50_H3B9Q0	A4FU16
UniRef50_P55073	Q86TU3; G1SBP0; P55073; UPI00003FF948
UniRef50_H7C4J3	H7C5E7; H7C4J3
UniRef50_Q14161-6	
UniRef50_H9F0E5	O75764-2; S4R419
UniRef50_G1SAG1	B7Z3C9
UniRef50_K7EIF6	K7EIF6; UPI00048A731D
UniRef50_A0A0U1RR25	
UniRef50_Q96HV5	G3RB19; H2QNW4; Q96HV5
UniRef50_F8WBL9	F8WBL9
UniRef50_A0A0R4IPW8	Q3B7A3
UniRef50_U3KQA4	U3KQA4
UniRef50_Q13740-4	Q13740-4; H7C543
UniRef50_A0A0V0TAS3	B4DSB7; UPI000387AD20
UniRef50_H0YDX2	H0YDT8; H0YDX2
UniRef50_G3V428	G3V428
UniRef50_G3V2K9	G3V2K9
UniRef50_G3T8U1	
UniRef50_A2AH22-7	A0A075B6T1
UniRef50_D3ZPI4	
UniRef50_Q15661	A0A0C4DGM1; Q86UA5; A0A087X1U0; Q96RZ6; P20231; Q6NZY1; Q6B051; A0A087WUI4; J3QTS8; Q15661; Q15661-2; Q86TM8; UPI0000169899; Q6FHB8
UniRef50_Q9HD54	Q9HD54
UniRef50_P54849	P54849; J3KQX4; F5GYV0; A0A024RAT0; Q5RCY3
UniRef50_P55157	B7Z7X3; P55157; E9PBP6
UniRef50_F7FSX8	
UniRef50_J3QQK5	J3QLI3; J3QQK5
UniRef50_F5H7J4	F5H7J4
UniRef50_C9J7Z6	C9J6E5; C9J7Z6; UPI0003F1886B; UPI000214A8A3
UniRef50_H7C3P5	H7C3P5
UniRef50_UPI000387C8A9	
UniRef50_A0A087WY32	A0A087WY32
UniRef50_F7ILK0	Q6RFR5
UniRef50_G3GZP6	H7BYF1
UniRef50_Q8R3H7	K7DH85; K7EP71; G3RYU1; B3KN15; Q7LGA3; UPI00029D9547; UPI000387C832; Q7LGA3-3
UniRef50_A0A087X1A7	A0A087X1A7
UniRef50_B2CW77	B2CW77
UniRef50_Q9P246	Q9P246; UPI0005FC2184; UPI0005FC2C6A; R4GN82; UPI000387CA4E; UPI00051269E7; G3QDY5; R4GMP0; H7C5C6; B3KUB5; UPI0005FB5B26; R4GNC5; H0Y860; Q05BJ5; H2RA94
UniRef50_Q5VWP3-3	D6RD42; Q5VWP3-3
UniRef50_Q9P2K5-2	A0A0A0MQW0; A0A0C4DGV1
UniRef50_A0A0A0YM56	A0A0A0YLM8; A0A0A0YKF4; B7XBD9; A0A0A0YKM5; A0A0A0YRR9; A0A059T3I6; B7XBC9; A0A0A0YM56; A0A0A0YPK1; B7XBD2; B7XBE0; A0A0A0YM43; B7XBC2; B7XBC1; A0A0A0YPL8
UniRef50_O75534	UPI0003C4BF29; A0A0D9S679; F6VGQ4; E9PLD4; O75534-4; O75534; H9EMW2; UPI0003AB71E4; A0A024R0E2; Q9UG93; UPI0003C4D12D
UniRef50_H3BPQ7	H3BQX7; H3BPQ7
UniRef50_Q96LM1	Q96LM1
UniRef50_P37108	H0YLW0; P37108
UniRef50_L9JGG0	
UniRef50_A8MY48	A8MY48
UniRef50_H2NWV2	
UniRef50_Q9H848	Q9H848
UniRef50_A0A096MMA7	J3KNJ3
UniRef50_P11309	F7HQA6; P11309
UniRef50_F7GUT0	B4DRV9
UniRef50_O43251-4	A0A060IIH1; A0A0G2JSB3; UPI000350A164; A2D690; UPI000511D55D; A0A0G2JRD1; B0QYY7; UPI0003AB7AA2; UPI0003AB98CC; A0A060IIU0; S4R469; UPI000387BBC5; F8WSN4; UPI00035120B7; UPI0003ABA09A; UPI000387C864; O43251-7; B0QYY4
UniRef50_F1PHQ6	A0A0D9RDG7; H9YX84; P11309-2; A0A024RD25; H9FB95; H2QSX4; H9FL94; UPI0005F38109
UniRef50_Q9H765	G1S889; A0A096MRB6; F5H6A7; F5H7B4; Q6IA19; F5GZZ3; G3QUD1; F6WXQ9; UPI00004DCDDB; A0A0D9R1V8; G7PHQ2; Q9H765; Q08E43; L8HZH8; F8VS92
UniRef50_F5GX32	F5GX32; B7Z2G8
UniRef50_Q8NFL6	Q8NFL6
UniRef50_A0A024R772	UPI0001EE241A; A0A024R772
UniRef50_Q7ZUA6-4	
UniRef50_H0YIL3	H0YIQ5; H0YIL3
UniRef50_Q9H0F7	H2QMZ4; Q9H0F7; C9IZ13; UPI00062AA28B; G1QNA6; UPI0000209E1E
UniRef50_J3QS04	J3QS04; J3QKW0
UniRef50_D6RJC8	D6R9E1; D6RJC8
UniRef50_Q9D513	Q8N635; H3BU10; UPI0000E23FFA; H3BSU6; H2QAB3; Q8N635-2
UniRef50_Q13566	Q13566
UniRef50_Q16850	B3KRC6; A0A0C4DFL7; Q16850-2; Q16850
UniRef50_Q969Z2	Q969Z2
UniRef50_Q4G5Y1	G3V3U8
UniRef50_L5K851	C9JCW3; A3F4K7; L5K851
UniRef50_Q91Y86	UPI0005FA9D06; B5BUB8; UPI0005FB6DCE; D6RC26; U6DMA1; Q5ISL7; Q4SQB9; B3KR72; G9K9K9; U6D5H6
UniRef50_P15822-3	B4DFZ7; A0A0D9SFF3
UniRef50_I3L3Z1	I3L3Z1
UniRef50_E2AMK8	
UniRef50_Q8TCY5	Q8TCY5-3; Q8TCY5
UniRef50_F7I5A9	Q6ZS14
UniRef50_P35968	A0A024RD88; Q59EB0; P35968; B4DEK3
UniRef50_U3KPX7	U3KPX7
UniRef50_Q16181	A0A093GCJ6; Q16181-2; Q5R481-2; UPI0000E0A9AD; Q5R481; G1SL57; H2PMD5; UPI000540482D; A0A091MWQ7; K7D8B0; U3JJD7; A0A093BLD7; H2RAX4; A0A091LZG0; M1EBX8; A0A091GG14; A0A091MQM4; F6UVF8; F1Q067; Q8TC62; Q5R4Z7; H9YUE5; A0A091W2Y5; Q6Q137; A0A0A0A5K0; Q16181; UPI0004F02A73; Q4G406; Q4R521; M3X872; E7EPK1; A0A087VJH5; A0A091ERR7; A0A091J4I2; UPI00052E8638; A0A091NA73; UPI000522696D; A8K3D0; A0A091W3U7; A0A093RGM2; A0A099ZH78; A4GYY8; U3EJL5; A0A091TCH4; A0A087QQV0; F7HWN8; A6QNM0; A0A091RRD9; UPI00052149CD; A0A091I1D3; D2HA04; G3USN3
UniRef50_Q86UQ5	Q86UQ5
UniRef50_F6UE44	H7BZX8
UniRef50_Q9UBC9	B1AN48; Q9UBC9
UniRef50_F1SC90	
UniRef50_Q6Q0C1	A0A024R6H7; Q6Q0C1; G3V374
UniRef50_Q9UF94	B3KUG0; Q9UF94
UniRef50_B2RBM6	B2RBM6; Q9P1J9
UniRef50_A8MT66	A8MT66; A0A087WSY0
UniRef50_Q0P6N4	Q0P6N4
UniRef50_Q6PFI3	
UniRef50_O14607-5	F4MH29; F4MH27
UniRef50_F7HV37	B4DH09
UniRef50_M3Y9U1	Q86TR6; H0Y4T7; UPI0005D00FD4; F8W9Y9; UPI0005D02133
UniRef50_I7BC74	U3M9Q7
UniRef50_H0YN74	H0YMG3; H0YKK3; H0YN74; A0A0B4J281
UniRef50_P42785	P42785; UPI0004F3FDA9; E9PL49; E9PQB5; E9PLY4; E9PL85; B3KR26; E9PQN3; E9PR42; B7Z7Q6; A0A024R5L0; P42785-2; UPI0004F1E249; UPI00062A679F; E9PNF7; UPI0004F49C6F; E9PIG4; E9PKN6
UniRef50_M0QXZ4	Q71QC8; M0QXZ4
UniRef50_Q5R546	B4DGW3; K7EJP1; UPI0005F4C705; K7EK77; UPI0003C8DA5C; K7EQH4; L9L2H2
UniRef50_Q7Z6F9	Q7Z6F9
UniRef50_F8WBS4	F8WBS4
UniRef50_H2RBF2	X5D319; Q9NPH0-2
UniRef50_E9PS51	E9PS51
UniRef50_P70368	F6T8T6; Q9HB31
UniRef50_Q09428	Q09428
UniRef50_A6NGW1	C9JST7; A6NGW1
UniRef50_Q6P9G9	B2RAT9; UPI000042590D; Q6P9G9; A2D620; H9F144; A1YEQ3; A2D4N9; Q7Z3P1
UniRef50_UPI0000228A6E	
UniRef50_H7C002	H7C002
UniRef50_C9J352	C9J352; S4R3E5
UniRef50_Q6ZNT3	Q6ZNT3
UniRef50_Q9D2H2	
UniRef50_H0Y2Y4	H0Y2Y4
UniRef50_Q6UX73	UPI0005CFF775; Q6UX73
UniRef50_H3BMH7	H3BMH7
UniRef50_E9PR93	E9PR93
UniRef50_Q80UW3	H9FH37; Q6ZS11; Q6ZS11-2; UPI0005F414D7; UPI0005F5819B; UPI0005F54DAE; M0QZ15
UniRef50_A6NP46	A6NP46
UniRef50_C9J597	C9J597
UniRef50_G1S9T0	Q9UI90
UniRef50_F8WF93	F8WF93
UniRef50_Q8K1E3-4	H0Y5P1
UniRef50_H0YMX4	H0YMX4
UniRef50_Q13563	B4DE45; A0A096MXQ4; UPI000387D684; A0A0D9QWB2; B7Z2D4; A0A0C5GN91; B4DFN3; Q9UEU6; UPI0005F51E9A; UPI00045E2F68; Q13563
UniRef50_Q6T774	Q6T774
UniRef50_F8WEM5	F8WEM5
UniRef50_P11166	F5H5V7; B2R8H4; I3L2R4; B4DDR6; F5GXP8; Q8TDB8; Q0P512; F5H081; B7Z966; P14672; B3KVN0; Q59GX2; F5H5Q3; P11166; I3L5Z2; B7Z5J8; P11169; F5H6F6; F5H7N2; Q8TDB8-2; F5GXP7; G3RZS1; F5H076; F5H3J0; B4DV25; Q8TDB8-3
UniRef50_H3BLW5	H3BLW5
UniRef50_Q6TDU7	UPI0005D024AD; Q6TDU7; UPI000387C09B; B4DY27; G3V3G6; UPI000387CC5C; F8W8F9; Q6TDU7-2
UniRef50_Q8TAV5	A0A024R3N7; Q8TAV5
UniRef50_K7EDL4	Q9UPD3
UniRef50_F5H3K7	F5H3K7; C9J0I2
UniRef50_Q8WV90	Q8WV90; F8WB23; B4DXH0; B4DHP7; F8WER8
UniRef50_P42331	P42331-3; UPI00002085CC; B7Z4C4; UPI00024CFA17; Q53QF7; P42331-4; B7Z5A5; P42331; P42331-6; Q53R16; V9HWC8; C9JB56
UniRef50_Q9UII4	UPI000387BF6D; B3KUG6; E9PBL0; Q8IVU3; Q9UII4; UPI0005D0383E; UPI000020B194
UniRef50_Q5IBH7	UPI0004F0382D; UPI0004F04DFA; Q5MJ70; Q53R02; E7EPV1
UniRef50_Q62834	X6RA30; X6RF82; UPI000387DD0B; X6RKY7; O75794
UniRef50_F6Y2P4	H7C4W6
UniRef50_H0YEY7	H0YEY7
UniRef50_G1PV98	B7Z204; Q86YG3
UniRef50_Q9JIZ9	I3L3X5
UniRef50_Q9H244	A8K7T1; B2RE67; G3QED8; Q9H244
UniRef50_Q14601	Q14601
UniRef50_G3RXA9	
UniRef50_F1T0D8	G3RY37; Q95LA4; F1T0D8
UniRef50_L8E910	L8E910
UniRef50_H0Y8W9	H0Y8W9
UniRef50_A0A075B774	A0A075B774
UniRef50_H7BY16	H7BY16
UniRef50_L8E7B8	L8E7B8
UniRef50_UPI0005CFF8EA	
UniRef50_Q9UJL9	Q9UJL9; Q9UJL9-2; Q49AA0; D3DPV3
UniRef50_Q8CG09	Q96QA9; Q2M3C9; Q59H05; O15438
UniRef50_Q8IX95	Q8IX95
UniRef50_Q8NDD1	Q8NDD1; Q5TBH9
UniRef50_H7C3V5	H7C3V5
UniRef50_H2RMW9	
UniRef50_Q8IVA1	Q8IVA1; UPI000007466E
UniRef50_J3KQC8	B4DL50; UPI000387CD92; B7ZAY1; A8K2N2; J3KQC8
UniRef50_H0W198	F8W8H5
UniRef50_Q05D68	Q05D68
UniRef50_H0YB17	H0YB17
UniRef50_M7BYC7	T1WH77; U5NK91
UniRef50_P50135	P50135; Q9N2A8; UPI0005D02740
UniRef50_H0YML3	H0YML3
UniRef50_Q02952	Q02952
UniRef50_E9PRW8	E9PRW8
UniRef50_U3K280	
UniRef50_P30731-2	F5GZ43
UniRef50_B4DVZ7	B4DVZ7; Q8NGW2; Q8NGW5
UniRef50_X5CN11	X5CN11
UniRef50_B4DYY6	B4DYY6
UniRef50_Q7L775	Q7L775
UniRef50_Q96HV7	Q96HV7
UniRef50_P41182-2	B5B0A5
UniRef50_H2RIN0	
UniRef50_O43524	O43524-2; O43524
UniRef50_G1P9V8	E5RIM3
UniRef50_Q6ZSS4	Q6ZSS4
UniRef50_K7EIZ0	K7EIZ0
UniRef50_P28070	G3R4T7; P28070
UniRef50_O75063	X6RH03; O75063; A0A024R918
UniRef50_Q9TV68	Q9UQ10
UniRef50_Q8QED0	
UniRef50_F6QHB3	B4DEW5
UniRef50_Q9Y2G8	B3KMS3; Q9Y2G8; A8K8W4; Q9Y2G8-2
UniRef50_H0YAC8	H0YAC8
UniRef50_H0WUW4	E9PNV9; Q8NE08
UniRef50_F6TYJ5	Q9H9K9
UniRef50_Q6PFH4	
UniRef50_UPI0005D02B34	
UniRef50_F7G209	B4DVW5
UniRef50_K7FUG0	C9JM11; B7SIX5; L5K217; Q67C41
UniRef50_UPI0005D030DB	
UniRef50_C9JAC5	C9JAC5
UniRef50_F7C0Y8	F7C0Y8; Q15136
UniRef50_Q7M6Y5-2	
UniRef50_Q9BQ89	B2RAF2; Q9BQ89
UniRef50_Q6ZRQ5	UPI0005CFF345; Q6ZRQ5; UPI0005D030F1; UPI0005D02FE7; UPI0005D03EE2; UPI0005D03EBE; UPI0003EAFD0A; H9KVD8
UniRef50_J3KNR6	J3KNR6
UniRef50_B4DQX9	B4DQX9
UniRef50_M0R137	M0R137
UniRef50_A0A091D754	G5ELZ5
UniRef50_H0YAZ8	H0YAZ8
UniRef50_M0QXE9	M0QXE9
UniRef50_F8VYK7	F8VYK7
UniRef50_H2PMI9	Q6JJ74
UniRef50_I3M096	I3M096; UPI00038BB295; Q6LEE0
UniRef50_P17023	H3BQI6; H3BQ26; P17023; J3KT56; H3BNH9; H3BNI0; P17023-2
UniRef50_Q9Y355	Q9Y355
UniRef50_L8ECP1	L8ECP1
UniRef50_Q59FN4	Q59FN4
UniRef50_K7EMG4	K7EMG4
UniRef50_M0R153	M0R153
UniRef50_Q6PJ72	Q6PJ72
UniRef50_Q96RI1-5	
UniRef50_F8WCK4	F8WCK4
UniRef50_J3QL73	J3QL73
UniRef50_Q86U17	Q86U17; UPI0003EB0509
UniRef50_H7BZZ4	H7BZZ4
UniRef50_L8EAK9	L8EAK9
UniRef50_A2A2Y8	A2A2Y8
UniRef50_Q9NRS4	UPI000003716C; A8K2U6; G3V124; E7ESG9; A0A087WWN4; UPI0000EE3963; A0A087WTU6; B7Z8X1; UPI000013708F; Q9NRS4; Q9NRS4-2; B7Z900
UniRef50_Q8N628	Q8N628; Q8NGZ5
UniRef50_F1QZ29	
UniRef50_Q9H668	Q9H668
UniRef50_M3Y1V0	
UniRef50_G3T173	K7EN59
UniRef50_Q7Z6L1	Q7Z6L1-4; Q7Z6L1; C9JUV4
UniRef50_S9XFC7	
UniRef50_A0A090N8Q8	A0A090N8Q8
UniRef50_Q9JI48	X2BQ60; D6RA24; G3QWX8; Q96EJ4; H2RA72; Q9NZF1
UniRef50_Q9Y6U7	G3RA87; UPI00001C205A; Q9Y6U7; C9JDL7
UniRef50_Q92784-3	F8W7T1
UniRef50_M0QZ90	M0QZ90
UniRef50_Q96S45	Q96S45
UniRef50_Q9BQJ3	Q9BQJ3
UniRef50_Q9H0U4	F6TGA5; U6CS94; F6QR86; F1PVP9; G1R2C1; H2Q460; G1MFH6; H0XPG3; F7I6T1; G5E7A3; H0VS12; UPI000155F460; G5BWX1; M3X9T5; Q9H0U4; Q5RE13
UniRef50_J3QT41	J3QT41
UniRef50_UPI0005D02F72	
UniRef50_E5RJ23	E5RJ23
UniRef50_Q8WWV6	Q8WWV6-4; A0A0B4J1S2; Q8WWV6
UniRef50_Q8IUG5	F5GXR6; A0A075B6F5; A0A024R1E2; Q8IUG5; A0A024R1G4; UPI0005D01A54; Q8N903; UPI0003EAFF99
UniRef50_A0A087X2D4	A0A087X2D4
UniRef50_P45985	K7APE5; F7FU91; P45985; H2NSS3; B4DH44; G1RWT9
UniRef50_I3NI33	I3NI33
UniRef50_H9GD71	Q9BU62
UniRef50_A7L3A3	A7L3A3; A7L3A4; A7L3A5
UniRef50_Q9Y6I3-1	
UniRef50_H0Y2X3	H0Y2X3
UniRef50_J3QKU8	J3QKU8
UniRef50_P15502	Q9UMK5; E7ENM0; B4E3S4; P15502-4; UPI0005F460D7; P15502; P15502-9; Q9UME9; A7L3I8; F8WAH6
UniRef50_P37889	UPI00029DA67E; B7Z6T9
UniRef50_H2P9A7	B3KMQ7
UniRef50_P14921	V9GYD6; UPI000529C451; Q6FG54; H9F8E7; B4DW78; A0A091V162; A8K725; P14921; UPI00045E4288; UPI00045D9F1A; Q5U0M2
UniRef50_Q8CFG4	Q5VZB9
UniRef50_H7C5M3	H7C5M3
UniRef50_O14847	O14847
UniRef50_Q7Z7B8	Q7Z7B8
UniRef50_Q30KQ5	Q30KQ5; Q30KL2
UniRef50_Q59EW7	Q59EW7
UniRef50_F6Q0A5	B3KVJ5
UniRef50_Q6PGA0	H0YF22
UniRef50_A0A087WV09	A0A087WV09
UniRef50_F7BN53	Q8NGP7
UniRef50_K7EK35	Q59GY7; K7EK35
UniRef50_UPI0005D03F0A	
UniRef50_F8VP51	F8VP51
UniRef50_P49005	C9IZD2; A0A087WWF6; C9JLE1; P49005; C9J8Z7
UniRef50_F5GZA4	B4DZ94; E9PG54; E7ESC5; F5GZA4; F1SW66
UniRef50_I3LE79	Q8TEE4
UniRef50_Q9NRR2	Q9NRR2
UniRef50_Q9H8P0	Q9H8P0; H2QPH7
UniRef50_I3L207	I3L0M2; I3L207
UniRef50_Q9UJ55	Q2M1Q7; Q6P3U4; Q05BN9; Q9UJ55
UniRef50_E9PS00	B7Z345; E9PS00
UniRef50_Q02080	H3BNR1; Q02080; B3KQ23; A0A024R7N0
UniRef50_F7CAU4	V9GY05
UniRef50_P37359	P0DM35; Q8TDC4
UniRef50_Q0VCS6	B3KRP6; E9PFB4
UniRef50_Q86W69	Q6PB34; Q86W69
UniRef50_H0YLK0	H0YLK0
UniRef50_C9IYA4	C9IYA4
UniRef50_UPI0005D0058D	
UniRef50_H9FGT2	
UniRef50_E9PEL9	E9PEL9
UniRef50_Q5ZIH1	B4DTC3
UniRef50_L8E8N5	L8E8N5
UniRef50_G1R3P2	B7Z6F4; UPI0005D0299E
UniRef50_P01769	P01769; Q0ZCI0; B6EDE2
UniRef50_Q60841	J3KQ66; H9FHY5; H9FHF4; Q75MM8; H9FJI3; P78509; UPI0003AB53ED; H9FLG6; P78509-3; H9FJ82; H9FHV5; H9FLG7
UniRef50_Q6IPK3	Q6IPK3
UniRef50_Q8NGJ8	Q8NGJ8
UniRef50_H7C607	H7C607
UniRef50_Q9Y4X1-4	UPI0004620AF5; D6RHF3
UniRef50_K7EK43	K7EK43
UniRef50_Q8NA39	Q8NA39
UniRef50_Q8N1H7	Q8N1H7; UPI0005D02DA4; UPI0005CFF93D; G3V493; UPI0005D00667; UPI0005CFFD55; G3V3U9
UniRef50_Q8N355	Q8N355
UniRef50_UPI0003EAFC60	
UniRef50_G1M2G7	Q59GF0
UniRef50_Q6P441	Q6P441; H0Y815
UniRef50_A6NE70	H7C2V9; A6NE70
UniRef50_O15231-7	Q6MZQ8; UPI000387BFE6
UniRef50_A0A0G2JMC3	A0A0G2JMC3; C9IZB2
UniRef50_UPI000387CAD9	
UniRef50_G3V3C0	G3V3C0
UniRef50_O60488	B2RBE0; UPI000328BCA3; H2QJI4; B3KN05; UPI000328B151; D6RD96; D6RFW9; B4DH39; C9JC11; G3QJN8; G3QZV5; D6RF95; F5GWH2; Q6PIM8; O95573; B3KMA6; A0A0C4DGB7; D6RDA8; Q8TAF6; UPI000328BDD6; A0A024R497; O60488-2; O60488; F7AET8; F5H062; UPI00029DC950
UniRef50_V9GYA3	V9GYA3; V9GZ64
UniRef50_E5RIQ2	E5RIQ2
UniRef50_Q61171	Q2PFZ3; P32119; H2QFG9; A0A0D9R2M0; F6U5B4; V9HW12; G3S156
UniRef50_Q8BHW5-3	
UniRef50_B3KVX5	B3KVX5
UniRef50_U6DKE8	
UniRef50_Q9PVG3	A0PJ83
UniRef50_UPI0005D03D43	
UniRef50_F8WCJ3	F8WCJ3
UniRef50_M0QYE5	M0QYE5
UniRef50_O75712	A1YRJ5; O75712
UniRef50_Q6PHS9	C9JVC9
UniRef50_H9KZP2	
UniRef50_Q7SXE4	B4E1D4
UniRef50_O75311	H9FM34; C9JBL4; Q6WRF9; UPI0000E25C68; A0A094MVG0; UPI00042CB7F2; H9FM35; Q9JL29; G3QU31; UPI0005D0405C; UPI0005F37FE4; Q4W595; M1ERX1; F7DY62; Q9UPF3; P23416-3; G7P6K5; H2PES7; B7Z4E9; H2QQG1; A0A096N2H5; O75311; P23416
UniRef50_D6RCX5	B3KPT5
UniRef50_H3BMG5	H3BMG5
UniRef50_O14519-2	F5GZF0
UniRef50_H0YHN3	H0YHN3; Q9H8X0
UniRef50_Q9UHP7-3	UPI0004F00F7D; A0A0C4DG81; W8SBA0; Q9UHP7-3; Q9UHP7-2; W8SND9; W8JD10; H0YGG6
UniRef50_U3I2T3	
UniRef50_D3VVR1	D3VVR1
UniRef50_H2PK10	B7ZL24; H0Y8C5
UniRef50_Q6ZP88	Q6ZP88
UniRef50_H2RGX5	Q9NW52
UniRef50_E2RIZ8	Q9H987-2; A0A024QZQ8
UniRef50_B4DTH3	B4DTH3
UniRef50_A9JTH2	
UniRef50_F6R5I9	F6R5I9
UniRef50_A4QMS1	A4QMS1
UniRef50_L8EB30	L8EB30
UniRef50_A8K3Q5	A8K3Q5
UniRef50_G1LS16	B4DPY1; UPI0005D030FE; Q92802-3; Q9Y3H6; Q96KV2
UniRef50_P57727	P57727; P57727-6; B7WPR2; P57727-2
UniRef50_P46059	A0A087WTQ1; P46059; Q6GV26; Q4VAL9; B2CQT6; O43641
UniRef50_H0YK63	H0YK63
UniRef50_Q8TDV5	Q8TDV5
UniRef50_H0YA34	H0YA34
UniRef50_G3V177	G3V177
UniRef50_A0A087WTG2	A0A087WTG2
UniRef50_Q5JRM2	Q5JRM2
UniRef50_L8E9I4	L8E9I4
UniRef50_Q6P0C5	
UniRef50_P24903-2	B4DNV7; B7ZB33
UniRef50_A8W794	A8W794
UniRef50_W4XGY3	
UniRef50_M0R0B2	M0R0B2
UniRef50_G3V5Q8	G3V5Q8
UniRef50_K7EJ53	K7EJ53
UniRef50_H0YET9	Q7Z3R3; H0YET9
UniRef50_F7CKI5	B4DLG6
UniRef50_H0Y8I5	H0Y8I5
UniRef50_A0A087WYI6	A0A087WYI6; A0A087WW33
UniRef50_I3MPK9	UPI000572D909; UPI00038404FF; UPI0001D56CA2; F5H7J9; B7ZLD0; Q9UQH4
UniRef50_P09466	A0A024R8D8; B2R4F9; P09466; Q5T6T6
UniRef50_O96015	A0A096NK40; G2HG77; F7AP66; T0MFP6; H0UUM4; G1RYX9; G5AYU0; H0WGK8; M3WS73; O96015; G7PFK1; Q53FE0; A0A0D9R2B1; G3RCG6; A4F4L4; Q32KN5; H2P4E5; I3NA86; A0A091DX36
UniRef50_Q8TAM2-6	G3V324
UniRef50_O43148	K7EP06; A8K946; Q05D80; K7EPP5; UPI0005D01DEF; O43148; UPI0004DFE799; UPI0005D03A0D; Q9UEB8
UniRef50_H3BTZ3	H3BTZ3
UniRef50_Q8NDA5	Q8NDA5
UniRef50_D6RFX1	D6RFX1
UniRef50_P28062-2	Q6FHU0
UniRef50_C9JVZ3	C9JVZ3
UniRef50_P42566	UPI0005D035E4; P42566; UPI0003EAEB9E
UniRef50_Q9Y6Q2	Q0VAG7; B2RB25; Q9Y6Q2; Q0VAG8
UniRef50_P36972	H3BQB1
UniRef50_B4DQ74	B4DQ74
UniRef50_H3BMI8	H3BMI8
UniRef50_G3V210	F8VZS0; G3V210
UniRef50_H2P6L2	
UniRef50_H3BPZ7	H3BPZ7
UniRef50_Q9BXQ6	Q9BXQ6; UPI0002746540; Q9BXQ6-2
UniRef50_Q15391	A5JUU3; Q15391; C9JAB5
UniRef50_Q6IQN9	B4DU58
UniRef50_Q8TB35	Q8TB35; H2RF70; G3RZ68
UniRef50_Q9NZJ6	Q9NZJ6; Q5T063
UniRef50_Q9H0J9	A4D1T0; Q9H0J9
UniRef50_Q5ZKR4	C9JXM3
UniRef50_Q8C8K3	
UniRef50_H0YBX2	H0YBX2
